partnerid,Reseller in Bookings,Global Ultimate Name match
10408408,Fujitsu America Inc,Fujitsu
1260266,Fujitsu Asia PTE Ltd,Fujitsu
1124806,Fujitsu Australia Ltd,Fujitsu
2294210,Fujitsu Caribbean (Trinidad) Ltd.,Fujitsu
10063566,FUJITSU DO BRASIL LTDA,Fujitsu
1583156,FUJITSU FIP CORPORATION,Fujitsu
56080360,Fujitsu Kagoshima Infornet LIMITED,Fujitsu
1247511,Fujitsu Limited,Fujitsu
56810880,Fujitsu Norway AS,Fujitsu
1120539,Fujitsu NZ,Fujitsu
1594706,Fujitsu Systems Business Thailand Ltd,Fujitsu
10449354,FUJITSU SYSTEMS WEST LIMITED,Fujitsu
1102855,Fujitsu Technology Solutions GmbH,Fujitsu
56209736,Fujitsu Vietnam Ltd,Fujitsu
1103319,Fujitsu Services,Fujitsu
10908519,FUJITSU YFC LIMITED,Fujitsu
1101289,Dell Software & Peripherals,NTT
10067970,NTT America,NTT
10522829,"NTT America, Inc. SME",NTT
10790712,NTT Australia Pty Ltd,NTT
1702419,"NTT BizLink, Inc.",NTT
1797966,NTT Com Asia Limited,NTT
1301306,NTT Com ICT Solutions (Australia) Pty Ltd,NTT
10474449,"NTT Communications (Thailand) Co.,Ltd.",NTT
56381494,"NTT Communications China Co., Ltd.",NTT
1825997,NTT Communications Corporation,NTT
57884368,NTT Communications Corporation Australia Office,NTT
57884369,NTT Communications Corporation Bangkok Office,NTT
57884364,NTT Communications Corporation Barcelona Office,NTT
57884371,NTT Communications Corporation Cyberjaya Office,NTT
57884361,NTT Communications Corporation Frankfurt Office,NTT
57884367,NTT Communications Corporation Hong Kong Office,NTT
57884353,NTT Communications Corporation London Office,NTT
57881966,NTT Communications Corporation New York Office,NTT
57884363,NTT Communications Corporation Paris Office,NTT
57884366,NTT Communications Corporation Singapore Office,NTT
10969583,NTT Communications Russia,NTT
10883444,NTT Communications Vietnam,NTT
1236220,NTT DATA CORPORATION,NTT
10617537,NTT DATA Inc.,NTT
1426063,NTT DATA ITALIA SPA,NTT
1527270,NTT DATA KYUSHU Corporation,NTT
57896585,NTT DATA Malaysia SDN BHD,NTT
1537703,NTT Europe,NTT
57923776,NTT Europe Limited,NTT
1361033,NTT Europe Ltd,NTT
1673805,NTT Europe Online,NTT
2070921,NTT EUROPE ONLINE GMBH,NTT
10862721,NTT MSC Sdn Bhd,NTT
1452129,NTT NEOMEIT Corporation,NTT
1109505,NTT Singapore PTE Ltd,NTT
56255498,NTT SMARTCONNECT Corporation,NTT
10397455,"NTTPC Communications,Inc.",NTT
56013890,PT. NTT Indonesia,NTT
10099183,"Shanghai NTT Telecommunications Engineering Co., Ltd.",NTT
,,