Date,Total,Cash,Stock,Fund,House,Pension,Point
1/1/18,152410135,4635604,11182367,15670301,99000000,21858446,63417
12/31/17,152410135,4635604,11182367,15670301,99000000,21858446,63417
12/30/17,152460088,4685604,11182367,15670301,99000000,21858446,63370
12/29/17,152423365,4636059,11182367,15683141,99000000,21858446,63352
12/28/17,152478228,4637287,11182367,15736784,99000000,21858446,63344
12/27/17,152459724,4657807,11182367,15697760,99000000,21858446,63344
12/26/17,152579529,4763107,11182367,15712265,99000000,21858446,63344
12/25/17,150429625,3541467,10801392,15702829,99000000,21320593,63344
12/24/17,150430022,3542027,10801392,15702829,99000000,21320593,63181
12/23/17,150430021,3542026,10801392,15702829,99000000,21320593,63181
12/22/17,150443088,3596870,10801392,15662162,99000000,21320593,62071
12/21/17,150451018,3621568,10801392,15645394,99000000,21320593,62071
12/20/17,150420774,3591737,10801392,15645394,99000000,21320593,61658
12/19/17,150217290,3497005,10801392,15536655,99000000,21320593,61645
12/18/17,150244049,3523764,10801392,15536655,99000000,21320593,61645
12/17/17,150338904,3618619,10801392,15536655,99000000,21320593,61645
12/16/17,150345211,3624948,10801392,15536655,99000000,21320593,61623
12/15/17,150447593,3725585,10801392,15536655,99000000,21320593,63368
12/14/17,150363283,3627336,10801392,15550594,99000000,21320593,63368
12/13/17,150460070,3672997,10801392,15601734,99000000,21320593,63354
12/12/17,150449565,3837861,10801392,15426365,99000000,21320593,63354
12/11/17,150374013,3841657,10801392,15347041,99000000,21320593,63330
12/10/17,151013318,4480962,10801392,15347041,99000000,21320593,63330
12/9/17,150844529,4484252,10801392,15174962,99000000,21320593,63330
12/8/17,150849933,4491729,10801392,15174962,99000000,21320593,61257
12/7/17,150697787,4499864,10801392,15014681,99000000,21320593,61257
12/6/17,150920331,4515101,10801392,15222148,99000000,21320593,61097
12/5/17,151222405,4772317,10801392,15267006,99000000,21320593,61097
12/4/17,151356394,4840686,10801392,15332750,99000000,21320593,60973
12/3/17,151312512,4796804,10801392,15332750,99000000,21320593,60973
12/2/17,150102339,4815433,9863740,15332750,99000000,21029459,60957
12/1/17,150043302,4818155,9863740,15270991,99000000,21029459,60957
11/30/17,149990136,4818926,9863740,15216904,99000000,21029459,61107
10/31/17,148483233,4882882,9058193,14583702,99000000,20901633,56823
9/30/17,145573047,4941571,8215776,13437832,99000000,19924407,53461
8/31/17,142418968,4778958,6868962,12523916,99000000,19238179,8953
7/31/17,142012850,5166639,5430213,12429147,99000000,19975442,11409
6/30/17,141543242,5817046,5148000,12175432,99000000,19390842,11922
5/31/17,141178309,1741427,6706025,14557365,99000000,19162425,11067
4/30/17,139099910,2037007,5345574,13274127,99000000,19432895,10307
3/31/17,140326314,3276120,5345574,13260556,99000000,19432895,11169
2/28/17,138221072,2306112,4800000,13083666,99000000,19021094,10200
1/31/17,136709378,1895662,4322097,12627555,99000000,18854510,9554
12/31/16,37682294,2031965,4322097,12464363,0,18854510,9359
11/30/16,35237573,2089968,3592409,11922591,0,17623473,9132
10/31/16,32454218,2075054,3206175,11367019,0,15796788,9182
9/30/16,31881453,3353455,2986772,10798849,0,14733127,9250
8/31/16,31146691,2748526,3264000,10828247,0,14296723,9195
7/31/16,29542492,1820618,2056328,10725652,0,14928260,11634
6/30/16,28488791,1898657,1843735,10077685,0,14657245,11469
5/31/16,28730865,2081637,1428448,11036436,0,14172225,12119
4/30/16,28518755,1950796,1310000,10774249,0,14472229,11481
3/31/16,29899437,3191049,1310000,10915243,0,14472229,10916
2/29/16,29806963,2770350,1238880,10393869,0,15392829,11035
1/31/16,29040430,1157526,1238880,11240426,0,15392829,10769
12/31/15,30149791,1298486,1238880,12208776,0,15392829,10820